Location,Land_cover,Biome,Biogeogr,Country,Latitude,Longitude,Elevation,Abundance,Richness,Seasons,Years,PresAbs,Shrews
AGO_Okavango,Natural,Savanna,Zambezian,Angola,-13.1,18.2,1440,10,10,2,3,1,1
BDI_Bururi,Natural,Forest,Congolian,Burundi,-3.9383,29.5969,1880,171,12,2,1,0,1
BEN_Gotcha,Natural,Forest-savanna,Congolian,Benin,8.29,1.79,240,100,10,1,1,0,1
BEN_Lougba,Natural,Forest-savanna,Congolian,Benin,8.27,1.76,240,105,7,1,1,0,1
BEN_Terou,Natural,Forest-savanna,Sudanian,Benin,9.06,2.06,290,181,7,1,1,0,1
BEN_Wannou,Natural,Forest-savanna,Sudanian,Benin,9.02,2.06,290,59,6,1,1,0,1
BWA_Okavango,Natural,Savanna,Southern,Botswana,-19.467,23.377,950,6,6,2,1,0,0
CAF_Dzanga,Natural,Rainforest,Congolian,CAR,3.38,16.34,550,232,10,2,2,0,1
CIV_Dabou,Degraded,Forest,Congolian,Ivory_Coast,5.35,-4.433,50,178,5,2,2,0,0
CIV_Foro,Degraded,Guinea-woodland,Sudanian,Ivory_Coast,7.917,-5,300,145,8,2,2,0,0
CIV_Lamto,Degraded,Forest-savanna,Congolian,Ivory_Coast,6.2,-4.967,100,92,10,2,2,0,0
CIV_Tai1,Natural,Rainforest,Congolian,Ivory_Coast,5.833,-7.333,200,236,10,1,1,0,1
CMR_Kupe1,Mixed,Rainforest,Congolian,Cameroon,4.836,9.68,900,52,11,1,1,0,1
CMR_Kupe2,Natural,Montane,Congolian,Cameroon,4.819,9.7075,1500,15,3,1,1,0,0
CMR_Kupe3,Natural,Montane,Congolian,Cameroon,4.7975,9.7031,2000,12,1,1,1,0,0
CMR_Oku,Natural,Montane,Congolian,Cameroon,6.254,10.419,2400,261,16,1,3,0,1
COD_Epulu,Natural,Rainforest,Congolian,DR_Congo,1.4,28.583,800,1387,18,2,1,0,1
COD_Irangi,Natural,Forest,Congolian,DR_Congo,-1.9,28.45,850,3541,13,2,3,0,0
COD_Ituri,Natural,Rainforest,Congolian,DR_Congo,1.417,28.58,760,90,8,1,1,0,0
COD_Kisangani11,Natural,Rainforest,Congolian,DR_Congo,0.448,25.289,420,400,10,2,3,0,0
COD_Kisangani10,Natural,Rainforest,Congolian,DR_Congo,0.6051,25.2565,400,2913,19,2,3,0,0
COD_Kisangani12,Natural,Rainforest,Congolian,DR_Congo,0.2898,25.2869,400,181,10,2,3,0,0
COD_Kitwit,Agricultural,Forest-savanna,Congolian,DR_Congo,-5.0579,18.9092,450,1718,19,1,1,0,1
ETH_Alatish,Natural,Sudanian_savanna,Sudanian,Ethiopia,12.2,35.5,600,211,12,2,2,0,1
ETH_Arbaminch,Mixed,Savanna,Somalian,Ethiopia,6.04,37.57,1200,594,8,2,2,0,0
ETH_Arsi,Natural,Montane,Ethiopian,Ethiopia,7.92,39.2,3200,295,11,2,3,0,0
ETH_Bale1,Natural,Montane,Ethiopian,Ethiopia,7,39.667,3500,458,5,2,2,0,1
ETH_Bale2,Natural,Montane,Ethiopian,Ethiopia,6.67,39.73,2000,188,7,2,2,0,1
ETH_Bale3,Natural,Montane,Ethiopian,Ethiopia,6.9,39.92,3700,16,3,2,2,0,1
ETH_Bale4,Natural,Montane,Ethiopian,Ethiopia,6.85,39.883,4050,30,3,2,2,0,1
ETH_Bale5,Natural,Montane,Ethiopian,Ethiopia,7.05,39.75,3200,13,5,2,2,0,1
ETH_Chebera,Natural,Montane,Ethiopian,Ethiopia,6.82,36.69,800,620,10,2,2,0,1
ETH_Hugumburda,Natural,Montane,Ethiopian,Ethiopia,12.65,39.55,2000,177,7,1,1,0,1
ETH_Hunkolo,Natural,Montane,Ethiopian,Ethiopia,7.4,39.4,3400,307,7,2,2,0,1
ETH_Jiren,Mixed,Montane,Ethiopian,Ethiopia,7.69,36.85,1800,100,6,2,2,0,1
ETH_Kaka,Natural,Montane,Ethiopian,Ethiopia,7.4,39.1,3500,612,8,2,2,0,1
ETH_Simiens1,Natural,Montane,Ethiopian,Ethiopia,13.19,37.89,2900,9,2,1,1,0,0
ETH_Simiens2,Natural,Montane,Ethiopian,Ethiopia,13.23,38.04,3250,119,8,1,1,0,1
ETH_Simiens3,Natural,Montane,Ethiopian,Ethiopia,13.26,38.19,3600,106,6,1,1,0,1
ETH_Simiens4,Natural,Montane,Ethiopian,Ethiopia,13.17,38.2,4000,115,4,1,1,0,1
ETH_Yerer,Natural,Montane,Ethiopian,Ethiopia,8.867,38.96,2000,400,6,2,2,0,1
GAB_Doudou,Natural,Rainforest,Congolian,Gabon,-2.15,10.5,110,1526,11,2,2,0,1
GAB_Gamba,Natural,Rainforest,Congolian,Gabon,-2.75,10.05,25,6,6,1,1,0,1
GAB_Loango,Natural,Rainforest,Congolian,Gabon,-2.2,9.7,30,6,6,1,1,0,1
GAB_Makoukou,Natural,Rainforest,Congolian,Gabon,0.567,12.867,450,230,8,2,2,0,0
GAB_Rabi,Natural,Rainforest,Congolian,Gabon,-1.8,10.3,200,12,12,1,1,0,1
GAB_Toucan,Natural,Rainforest,Congolian,Gabon,-1.7,10.2,160,11,11,1,1,0,1
GHA_Accra,Mixed,Guinea-woodland,Congolian,Ghana,6,0,80,234,10,2,2,0,1
GHA_Boitano,Natural,Rainforest,Congolian,Ghana,5.53,-2.617,80,17,7,1,1,0,1
GHA_Digya,Natural,Forest-savanna,Congolian,Ghana,7.5,-0.5,150,26,4,1,1,0,0
GHA_Draw,Natural,Rainforest,Congolian,Ghana,5.2,-2.4,80,26,6,1,1,0,1
GHA_Kogyae,Natural,Forest-savanna,Congolian,Ghana,7.2,-1.183,150,96,9,2,2,0,0
GHA_Krokosua,Natural,Rainforest,Congolian,Ghana,6.617,-2.85,220,44,4,1,1,0,1
GHA_Mole,Natural,Sudanian_savanna,Sudanian,Ghana,9.5,-2,200,48,5,1,1,0,0
GIN_Niger,Natural,Sudanian_savanna,Sudanian,Guinea,10.1,-10.4,450,11,11,1,1,1,1
GIN_Ziama,Natural,Forest-savanna,Congolian,Guinea,8.1768,-9.3718,600,28,10,1,1,0,1
KEN_Meru,Natural,Savanna,Somalian,Kenya,0.183,38.167,650,323,6,2,2,0,1
KEN_Mukogodo,Natural,Montane,Somalian,Kenya,0.4,37.25,1500,187,7,2,1,0,1
Ken_Nairobi1,Natural,Grassland,Zambezian,Kenya,-1.233,36.8,1750,210,5,2,2,0,1
Ken_Nairobi2,Natural,Grassland,Zambezian,Kenya,-1.2400,36.8300,1750,680,9,2,2,0,0
KEN_Turkana1,Natural,Savanna,Somalian,Kenya,3.95,36.2,380,62,6,2,2,0,1
KEN_Turkana2,Natural,Savanna,Somalian,Kenya,2.567,36.917,1000,6,3,2,2,0,1
LBR_Nimba1,Mixed,Forest-savanna,Congolian,Liberia,7.51,-8.53,1350,1,1,1,1,0,1
LBR_Nimba2,Mixed,Forest-savanna,Congolian,Liberia,7.52,-8.53,1000,7,5,1,1,0,1
LBR_Nimba3,Mixed,Forest-savanna,Congolian,Liberia,7.51,-8.7,420,21,5,1,1,0,1
LBR_Nimba4,Mixed,Forest-savanna,Congolian,Liberia,7.47,-8.65,450,58,6,1,1,0,1
LBR_Wologizi,Natural,Forest-savanna,Congolian,Liberia,8.149,-9.879,550,15,6,1,1,0,1
MLI_Bafing,Mixed,Sudanian_savanna,Sudanian,Mali,13,-10.5,400,245,11,2,3,0,0
MLI_Baoule,Mixed,Sudanian_savanna,Sudanian,Mali,10.5,-7.7,410,50,5,2,3,0,0
MLI_Mandingues,Mixed,Sudanian_savanna,Sudanian,Mali,12.5,-8.5,430,158,11,2,3,0,0
MLI_Mopti,Mixed,Sahel,Sudanian,Mali,14.89,-4.035,260,3107,3,2,3,0,1
MLI_Sikasso,Mixed,Sudanian_savanna,Sudanian,Mali,10.7,-6,340,283,11,2,3,0,0
MOZ_Cabora,Natural,Savanna,Zambezian,Mozambique,-15.6,32.75,840,80,7,2,2,0,1
MOZ_Gorongosa,Natural,Savanna,Zambezian,Mozambique,-18.99,34.35,120,81,10,1,1,0,1
MRT_Chott,Natural,Sahel,Sudanian,Mauritania,16.6,-16.43,10,329,7,2,2,0,1
MWI_Lengwe,Natural,Savanna,Zambezian,Malawi,-16.3,34.733,100,220,9,2,2,0,1
MWI_Liwonde,Natural,Savanna,Zambezian,Malawi,-15.033,35.25,550,106,7,2,2,0,1
MWI_Mulanje,Natural,Montane,Zambezian,Malawi,-15.983,35.533,1900,47,7,1,1,0,0
MWI_Nyika,Natural,Montane,Zambezian,Malawi,-10.583,33.817,2300,47,6,1,1,0,0
MWI_Zomba,Natural,Montane,Zambezian,Malawi,-15.333,25.317,1900,215,8,2,2,0,1
NAM_Gobabeb,Natural,Desert,Southern,Namibia,-23.543,14.993,400,2,2,2,1,0,0
NAM_Gorrasis,Natural,Desert,Southern,Namibia,-25.3,15.917,1200,3132,3,2,2,0,0
NAM_Keetmanshoop,Rangeland,Nama-Karoo,Southern,Namibia,-26.39,17.996,1000,301,8,2,2,0,1
NAM_Tumasberg,Natural,Desert,Southern,Namibia,-23.152,15.514,1100,229,3,2,1,0,1
NGA_Gambari,Natural,Rainforest,Congolian,Nigeria,7.15,3.9,170,482,7,2,3,0,1
NGA_Gotel,Natural,Montane,Congolian,Nigeria,7,11.7,1600,29,9,1,1,0,1
NGA_Oredo,Mixed,Rainforest,Congolian,Nigeria,6.09,5.485,20,1690,14,1,3,0,1
RWA_Volcanoes,Natural,Montane,Congolian,Rwanda,-1.458,29.498,3000,201,7,1,1,0,1
SEN_Sabodala,Mixed,Sudanian_savanna,Sudanian,Senegal,13.167,-12.117,250,522,9,2,2,0,1
SLE_Bumbuna1,Natural,Forest-savanna,Sudanian,Sierra_Leone,9.3244,-11.675,310,81,8,1,1,0,1
SLE_Bumbuna2,Mixed,Forest-savanna,Sudanian,Sierra_Leone,9.32,-11.527,320,11,5,1,1,0,1
SLE_Gola1,Natural,Rainforest,Congolian,Sierra_Leone,7.649,-10.775,150,54,8,1,1,0,1
SLE_Gola2,Natural,Rainforest,Congolian,Sierra_Leone,7.772,-10.714,150,30,4,1,1,0,1
SOM_Jubba,Natural,Savanna,Somalian,Somalia,1.067,42.583,20,63,5,1,1,0,1
SWZ_Edwaleni,Natural,Savanna,Southern,Eswatini,-26.546,31.261,750,283,6,2,3,0,1
SWZ_Lowveld,Mixed,Savanna,Southern,Eswatini,-26.22,31.88,300,1547,7,2,1,0,1
SWZ_Maguga,Natural,Savanna,Southern,Eswatini,-26.067,31.27,650,184,7,2,2,0,1
SWZ_Mlawula,Natural,Savanna,Southern,Eswatini,-26.208,32,150,394,5,2,2,0,1
TCD_Zakouma,Natural,Sudanian_savanna,Sudanian,Chad,10.5,19.8,430,400,8,1,1,0,1
TZA_Berega,Agricultural,Savanna,Zambezian,Tanzania,-6.167,37.133,880,2585,10,2,3,0,0
TZA_Katavi,Mixed,Savanna,Zambezian,Tanzania,-6.8,31,1000,636,16,2,2,0,1
TZA_Kilimanjaro1,Natural,Montane,Zambezian,Tanzania,-3.225,37.459,2200,6,6,2,1,1,1
TZA_Kilimanjaro2,Natural,Montane,Zambezian,Tanzania,-3.186,37.463,2700,6,6,2,1,1,1
TZA_Kilimanjaro3,Natural,Montane,Zambezian,Tanzania,-3.145,37.46,3500,4,4,2,1,1,1
TZA_KilimanjaroA1,Natural,Montane,Zambezian,Tanzania,-3.24007,37.45837,2000,81,6,1,1,0,1
TZA_KilimanjaroA2,Natural,Montane,Zambezian,Tanzania,-3.20765,37.447,2500,64,8,1,1,0,1
TZA_KilimanjaroA3,Natural,Montane,Zambezian,Tanzania,-3.17712,37.44022,3000,53,9,1,1,0,1
TZA_KilimanjaroA4,Natural,Montane,Zambezian,Tanzania,-3.14902,37.43555,3500,7,3,1,1,0,1
TZA_KilimanjaroA5,Natural,Montane,Zambezian,Tanzania,-3.1261,37.42667,4000,87,3,1,1,0,1
TZA_Kingu,Mixed,Savanna,Zambezian,Tanzania,-8.433,38.633,170,225,8,1,1,0,1
TZA_Minziro,Natural,Montane,Congolian,Tanzania,-1.0942,31.5154,1160,210,12,1,1,0,1
TZA_Tarangire,Natural,Savanna,Zambezian,Tanzania,-3.88,36.03,1100,142,15,2,2,0,1
TZA_Udzungwa1,Natural,Forest,Zambezian,Tanzania,-8.517,35.9,600,19,5,1,1,0,1
TZA_Udzungwa2,Natural,Montane,Zambezian,Tanzania,-8.51,35.92,920,32,6,1,1,0,1
TZA_Udzungwa3,Natural,Montane,Zambezian,Tanzania,-8.475,35.88,2460,66,6,1,1,0,1
TZA_Udzungwa4,Natural,Montane,Zambezian,Tanzania,-8.35,35.95,2000,83,7,1,1,0,1
TZA_Udzungwa5,Natural,Montane,Zambezian,Tanzania,-7.8478,36.8838,350,41,7,2,2,0,1
TZA_Udzungwa6,Natural,Montane,Zambezian,Tanzania,-7.708,36.909,1200,48,7,2,2,0,1
TZA_Usambara1,Natural,Montane,Zambezian,Tanzania,-5.1058,38.5978,1000,449,11,1,3,0,1
TZA_Usambara2,Natural,Montane,Zambezian,Tanzania,-5.067,38.4,1200,562,11,1,3,0,1
UGA_Bwindi1,Natural,Montane,Congolian,Uganda,-0.997,29.616,1550,22,22,2,1,1,1
UGA_Bwindi2,Natural,Montane,Congolian,Uganda,-1.05,29.775,2300,25,25,2,1,1,1
UGA_Elgon1,Natural,Montane,Sudanian,Uganda,1.15,34.483,3400,8,8,2,2,1,0
UGA_Elgon2,Natural,Montane,Sudanian,Uganda,1.143,34.526,4100,6,6,2,2,1,0
UGA_Mayuge,Agricultural,Forest-savanna,Congolian,Uganda,0.72,33.48,1000,2255,11,2,3,0,0
UGA_Rwenzori1,Natural,Montane,Congolian,Uganda,0.344,30.027,2000,418,10,2,2,0,1
UGA_Rwenzori2,Natural,Montane,Congolian,Uganda,0.341,29.987,2700,293,8,2,2,0,1
UGA_Rwenzori3,Natural,Montane,Congolian,Uganda,0.321,29.974,3350,83,9,2,2,0,1
UGA_Rwenzori4,Natural,Montane,Congolian,Uganda,0.3,29.91,4000,87,6,2,2,0,1
ZAF_Asante,Natural,Montane,Southern,South_Africa,-32.233,24.917,1800,56,6,2,2,0,1
ZAF_Baviaanskloof,Natural,Fynbos,Southern,South_Africa,-33.6,24.4,800,117,5,1,1,0,1
ZAF_Cradle,Natural,Grassland,Southern,South_Africa,-25.93,27.77,1550,159,10,2,2,0,0
ZAF_Groenvaley,Degraded,Grassland,Southern,South_Africa,-25.33,30.75,1100,493,7,2,3,0,1
ZAF_Kalahari1,Natural,Savanna,Southern,South_Africa,-26.46,20.61,900,433,7,2,3,0,0
ZAF_Kalahari2,Natural,Savanna,Southern,South_Africa,-26.42,20.62,900,34,5,2,3,0,0
ZAF_Kalahari3,Natural,Savanna,Southern,South_Africa,-25.56,20.65,1000,579,10,2,3,0,0
ZAF_Kalahari4,Natural,Savanna,Southern,South_Africa,-25.1,20.2,1000,97,5,2,3,0,1
ZAF_Karkloof,Natural,Forest,Southern,South_Africa,-29.292,30.24,1500,1812,8,2,2,0,1
ZAF_Karoo1,Rangeland,Nama-Karoo,Southern,South_Africa,-33.083,24.317,600,9,3,2,1,0,0
ZAF_Karoo2,Rangeland,Succulent-Karoo,Southern,South_Africa,-33.367,24.2,550,21,3,2,1,0,1
ZAF_Karoo3,Rangeland,Nama-Karoo,Southern,South_Africa,-33.35,23.133,800,33,2,2,1,0,1
ZAF_Karoo4,Rangeland,Nama-Karoo,Southern,South_Africa,-33.233,22.617,850,46,3,2,1,0,1
ZAF_Karoo5,Rangeland,Succulent-Karoo,Southern,South_Africa,-33.45,20.05,800,4,1,2,1,0,1
ZAF_Karoo6,Rangeland,Succulent-Karoo,Southern,South_Africa,-33.167,19.733,700,47,5,2,1,0,1
ZAF_Knersvlakte,Natural,Succulent-Karoo,Southern,South_Africa,-31.4,18.5,250,98,8,1,1,0,1
ZAF_Mankwe,Natural,Savanna,Southern,South_Africa,-25.25,27.283,1100,891,9,2,3,0,1
ZAF_Mariepskop,Natural,Montane,Southern,South_Africa,-24.5,30.967,1700,32,6,1,1,0,1
ZAF_MtZebra,Natural,Montane,Southern,South_Africa,-32.3,25.4,1800,24,6,2,2,0,1
ZAF_Nossob,Natural,Savanna,Southern,South_Africa,-25.417,20.599,950,47,6,1,1,0,1
ZAF_Nwashitshumbe,Natural,Savanna,Zambezian,South_Africa,-22.75,31.25,400,1275,5,2,2,0,0
ZAF_Nyslvley,Natural,Savanna,Southern,South_Africa,-24.64,28.68,1100,77,13,1,1,0,1
ZAF_Phinda,Natural,Savanna,Southern,South_Africa,-27.75,32.3,50,157,9,2,2,0,1
ZAF_Pretoriuskop,Natural,Savanna,Zambezian,South_Africa,-25.17,31.29,600,89,8,1,1,0,1
ZAF_RichardsBay,Degraded,Forest,Southern,South_Africa,-28.7156,32.1847,50,1405,6,2,2,0,1
ZAF_Rolfontein,Natural,Grassland,Southern,South_Africa,-30.009,24.765,1250,1139,12,2,2,0,1
ZAF_Satara,Natural,Savanna,Zambezian,South_Africa,-24.39,31.79,250,36,5,1,1,0,1
ZAF_Sneeuberg,Natural,Montane,Southern,South_Africa,-31.7,24.633,1800,122,6,2,2,0,1
ZAF_Soutpansberg,Natural,Montane,Southern,South_Africa,-23.034,29.431,1400,458,7,2,2,0,1
ZAF_Swartberg,Natural,Fynbos,Southern,South_Africa,-33.33,22.05,1200,92,5,1,1,0,1
ZAF_Telperion,Natural,Grassland,Southern,South_Africa,-25.633,28.883,1400,163,11,2,1,0,1
ZAF_Wakefield,Natural,Montane,Southern,South_Africa,-29.48,29.89,1450,342,10,2,1,0,1
ZAF_WillemPretorius,Natural,Grassland,Southern,South_Africa,-28.3,27.18,1400,328,4,2,2,0,1
ZMB_Kafue1,Natural,Savanna,Zambezian,Zambia,-14.383,26.041,1100,43,6,1,1,0,1
ZMB_Kafue2,Natural,Savanna,Zambezian,Zambia,-14.208,25.656,1100,14,4,1,1,0,1
ZMB_Kafue3,Natural,Savanna,Zambezian,Zambia,-14.297,25.92,1100,18,6,1,1,0,1
ZWE_Sengwa,Natural,Savanna,Zambezian,Zimbabwe,-18.167,28.233,900,313,11,2,2,0,1
