"","species_data_updated.1"
"Elephantulus_myurus","Elephantulus_myurus"
"Elephantulus_edwardii","Elephantulus_edwardii"
"Macroscelides_proboscideus","Macroscelides_proboscideus"
"Petrodromus_tetradactylus","Petrodromus_tetradactylus"
"Elephantulus_fuscus","Elephantulus_fuscus"
"Elephantulus_intufi","Elephantulus_intufi"
"Elephantulus_rupestris","Elephantulus_rupestris"
"Elephantulus_brachyrhynchus","Elephantulus_brachyrhynchus"
"Elephantulus_rufescens","Elephantulus_rufescens"
"Myosorex_zinki","Myosorex_zinki"
"Myosorex_babaulti","Myosorex_babaulti"
"Myosorex_varius","Myosorex_varius"
"Myosorex_cafer","Myosorex_cafer"
"Myosorex_blarina","Myosorex_blarina"
"Myosorex_okuensis","Myosorex_okuensis"
"Myosorex_kihaulei","Myosorex_kihaulei"
"Myosorex_bururiensis","Myosorex_bururiensis"
"Sylvisorex_johnstoni","Sylvisorex_johnstoni"
"Suncus_aequatorius","Suncus_aequatorius"
"Sylvisorex_howelli","Sylvisorex_howelli"
"Sylvisorex_lunaris","Sylvisorex_lunaris"
"Sylvisorex_camerunensis","Sylvisorex_camerunensis"
"Sylvisorex_granti","Sylvisorex_granti"
"Sylvisorex_vulcanorum","Sylvisorex_vulcanorum"
"Suncus_hututsi","Suncus_hututsi"
"Suncus_remyi","Suncus_remyi"
"Suncus_infinitesimus","Suncus_infinitesimus"
"Suncus_varilla","Suncus_varilla"
"Suncus_megalura","Suncus_megalura"
"Ruwenzorisorex_suncoides","Ruwenzorisorex_suncoides"
"Sylvisorex_konganensis","Sylvisorex_konganensis"
"Scutisorex_somereni","Scutisorex_somereni"
"Sylvisorex_ollula","Sylvisorex_ollula"
"Crocidura_roosevelti","Crocidura_roosevelti"
"Crocidura_latona","Crocidura_latona"
"Crocidura_caliginea","Crocidura_caliginea"
"Crocidura_tansaniana","Crocidura_tansaniana"
"Crocidura_cyanea","Crocidura_cyanea"
"Crocidura_poensis","Crocidura_poensis"
"Crocidura_buettikoferi","Crocidura_buettikoferi"
"Crocidura_theresae","Crocidura_theresae"
"Crocidura_batesi","Crocidura_batesi"
"Crocidura_grandiceps","Crocidura_grandiceps"
"Crocidura_hildegardeae","Crocidura_hildegardeae"
"Crocidura_attila","Crocidura_attila"
"Crocidura_telfordi","Crocidura_telfordi"
"Crocidura_silacea","Crocidura_silacea"
"Crocidura_mariquensis","Crocidura_mariquensis"
"Crocidura_allex","Crocidura_allex"
"Crocidura_dolichura","Crocidura_dolichura"
"Crocidura_ludia","Crocidura_ludia"
"Crocidura_nana","Crocidura_nana"
"Crocidura_desperata","Crocidura_desperata"
"Crocidura_stenocephala","Crocidura_stenocephala"
"Crocidura_littoralis","Crocidura_littoralis"
"Crocidura_maurisca","Crocidura_maurisca"
"Crocidura_tarella","Crocidura_tarella"
"Crocidura_lusitania","Crocidura_lusitania"
"Crocidura_foxi","Crocidura_foxi"
"Crocidura_crossei","Crocidura_crossei"
"Crocidura_jouvenetae","Crocidura_jouvenetae"
"Crocidura_fuscomurina","Crocidura_fuscomurina"
"Paracrocidura_schoutedeni","Paracrocidura_schoutedeni"
"Paracrocidura_maxima","Paracrocidura_maxima"
"Crocidura_lamottei","Crocidura_lamottei"
"Crocidura_parvipes","Crocidura_parvipes"
"Crocidura_harenna","Crocidura_harenna"
"Crocidura_flavescens","Crocidura_flavescens"
"Crocidura_hirta","Crocidura_hirta"
"Crocidura_fulvastra","Crocidura_fulvastra"
"Crocidura_viaria","Crocidura_viaria"
"Crocidura_mutesae","Crocidura_mutesae"
"Crocidura_goliath","Crocidura_goliath"
"Crocidura_olivieri","Crocidura_olivieri"
"Crocidura_elgonius","Crocidura_elgonius"
"Crocidura_crenata","Crocidura_crenata"
"Crocidura_grassei","Crocidura_grassei"
"Crocidura_muricauda","Crocidura_muricauda"
"Crocidura_douceti","Crocidura_douceti"
"Crocidura_nimbasilvanus","Crocidura_nimbasilvanus"
"Crocidura_nimbae","Crocidura_nimbae"
"Crocidura_selina","Crocidura_selina"
"Crocidura_nanilla","Crocidura_nanilla"
"Crocidura_montis","Crocidura_montis"
"Crocidura_macmillani","Crocidura_macmillani"
"Crocidura_luna","Crocidura_luna"
"Crocidura_monax","Crocidura_monax"
"Crocidura_denti","Crocidura_denti"
"Crocidura_glassi","Crocidura_glassi"
"Crocidura_thalia","Crocidura_thalia"
"Crocidura_baileyi","Crocidura_baileyi"
"Crocidura_niobe","Crocidura_niobe"
"Crocidura_obscurior","Crocidura_obscurior"
"Crocidura_jacksoni","Crocidura_jacksoni"
"Crocidura_bottegoides","Crocidura_bottegoides"
"Crocidura_lucina","Crocidura_lucina"
"Crocidura_maquassiensis","Crocidura_maquassiensis"
"Crocidura_yankariensis","Crocidura_yankariensis"
"Crocidura_smithii","Crocidura_smithii"
"Crocidura_congobelgica","Crocidura_congobelgica"
"Crocidura_somalica","Crocidura_somalica"
"Crocidura_usambarae","Crocidura_usambarae"
"Crocidura_turba","Crocidura_turba"
"Crocidura_nigeriae","Crocidura_nigeriae"
"Crocidura_nigrofusca","Crocidura_nigrofusca"
"Sylvisorex_pluvialis","Sylvisorex_pluvialis"
"Suncus_lixus","Suncus_lixus"
"Sylvisorex_isabellae","Sylvisorex_isabellae"
"Lavia_frons","Lavia_frons"
"Cardioderma_cor","Cardioderma_cor"
"Rhinolophus_landeri","Rhinolophus_landeri"
"Rhinolophus_alcyone","Rhinolophus_alcyone"
"Rhinolophus_ziama","Rhinolophus_ziama"
"Rhinolophus_deckenii","Rhinolophus_deckenii"
"Rhinolophus_guineensis","Rhinolophus_guineensis"
"Rhinolophus_hillorum","Rhinolophus_hillorum"
"Rhinolophus_capensis","Rhinolophus_capensis"
"Rhinolophus_swinnyi","Rhinolophus_swinnyi"
"Rhinolophus_simulator","Rhinolophus_simulator"
"Rhinolophus_denti","Rhinolophus_denti"
"Rhinolophus_blasii","Rhinolophus_blasii"
"Rhinolophus_mossambicus","Rhinolophus_mossambicus"
"Rhinolophus_fumigatus","Rhinolophus_fumigatus"
"Rhinolophus_hildebrandtii","Rhinolophus_hildebrandtii"
"Rhinolophus_mabuensis","Rhinolophus_mabuensis"
"Rhinolophus_cohenae","Rhinolophus_cohenae"
"Rhinolophus_smithersi","Rhinolophus_smithersi"
"Rhinolophus_darlingi","Rhinolophus_darlingi"
"Rhinolophus_clivosus","Rhinolophus_clivosus"
"Hipposideros_camerunensis","Hipposideros_camerunensis"
"Hipposideros_marisae","Hipposideros_marisae"
"Hipposideros_jonesi","Hipposideros_jonesi"
"Hipposideros_curtus","Hipposideros_curtus"
"Hipposideros_beatus","Hipposideros_beatus"
"Hipposideros_lamottei","Hipposideros_lamottei"
"Hipposideros_ruber","Hipposideros_ruber"
"Hipposideros_abae","Hipposideros_abae"
"Hipposideros_caffer","Hipposideros_caffer"
"Hipposideros_fuliginosus","Hipposideros_fuliginosus"
"Hipposideros_cyclops","Hipposideros_cyclops"
"Hipposideros_vittatus","Hipposideros_vittatus"
"Hipposideros_gigas","Hipposideros_gigas"
"Cloeotis_percivali","Cloeotis_percivali"
"Triaenops_afer","Triaenops_afer"
"Plerotes_anchietae","Plerotes_anchietae"
"Rousettus_aegyptiacus","Rousettus_aegyptiacus"
"Epomops_dobsonii","Epomops_dobsonii"
"Epomops_franqueti","Epomops_franqueti"
"Epomops_buettikoferi","Epomops_buettikoferi"
"Epomophorus_crypturus","Epomophorus_crypturus"
"Epomophorus_labiatus","Epomophorus_labiatus"
"Epomophorus_angolensis","Epomophorus_angolensis"
"Epomophorus_minimus","Epomophorus_minimus"
"Epomophorus_gambianus","Epomophorus_gambianus"
"Micropteropus_pusillus","Micropteropus_pusillus"
"Epomophorus_wahlbergi","Epomophorus_wahlbergi"
"Nanonycteris_veldkampii","Nanonycteris_veldkampii"
"Hypsignathus_monstrosus","Hypsignathus_monstrosus"
"Megaloglossus_woermanni","Megaloglossus_woermanni"
"Megaloglossus_azagnyi","Megaloglossus_azagnyi"
"Myonycteris_relicta","Myonycteris_relicta"
"Myonycteris_torquata","Myonycteris_torquata"
"Myonycteris_angolensis","Myonycteris_angolensis"
"Scotonycteris_zenkeri","Scotonycteris_zenkeri"
"Scotonycteris_occidentalis","Scotonycteris_occidentalis"
"Scotonycteris_bergmansi","Scotonycteris_bergmansi"
"Casinycteris_ophiodon","Casinycteris_ophiodon"
"Casinycteris_campomaanensis","Casinycteris_campomaanensis"
"Casinycteris_argynnis","Casinycteris_argynnis"
"Eidolon_helvum","Eidolon_helvum"
"Tadarida_aegyptiaca","Tadarida_aegyptiaca"
"Chaerephon_bemmeleni","Chaerephon_bemmeleni"
"Mops_brachypterus","Mops_brachypterus"
"Chaerephon_bivittatus","Chaerephon_bivittatus"
"Mops_demonstrator","Mops_demonstrator"
"Mops_spurrelli","Mops_spurrelli"
"Chaerephon_major","Chaerephon_major"
"Chaerephon_ansorgei","Chaerephon_ansorgei"
"Mops_trevori","Mops_trevori"
"Chaerephon_aloysiisabaudiae","Chaerephon_aloysiisabaudiae"
"Chaerephon_pumilus","Chaerephon_pumilus"
"Chaerephon_chapini","Chaerephon_chapini"
"Mops_niveiventer","Mops_niveiventer"
"Mops_condylurus","Mops_condylurus"
"Mops_nanulus","Mops_nanulus"
"Chaerephon_russatus","Chaerephon_russatus"
"Mops_midas","Mops_midas"
"Chaerephon_nigeriae","Chaerephon_nigeriae"
"Mops_thersites","Mops_thersites"
"Sauromys_petrophilus","Sauromys_petrophilus"
"Otomops_martiensseni","Otomops_martiensseni"
"Tadarida_ventralis","Tadarida_ventralis"
"Tadarida_fulminans","Tadarida_fulminans"
"Myopterus_whitleyi","Myopterus_whitleyi"
"Myopterus_daubentonii","Myopterus_daubentonii"
"Platymops_setiger","Platymops_setiger"
"Miniopterus_minor","Miniopterus_minor"
"Miniopterus_fraterculus","Miniopterus_fraterculus"
"Miniopterus_natalensis","Miniopterus_natalensis"
"Miniopterus_inflatus","Miniopterus_inflatus"
"Miniopterus_mossambicus","Miniopterus_mossambicus"
"Mimetillus_moloneyi","Mimetillus_moloneyi"
"Cistugo_seabrae","Cistugo_seabrae"
"Cistugo_lesueuri","Cistugo_lesueuri"
"Scotophilus_viridis","Scotophilus_viridis"
"Scotophilus_leucogaster","Scotophilus_leucogaster"
"Scotophilus_nigrita","Scotophilus_nigrita"
"Scotophilus_livingstonii","Scotophilus_livingstonii"
"Scotophilus_ejetai","Scotophilus_ejetai"
"Scotophilus_dinganii","Scotophilus_dinganii"
"Scotophilus_andrewreborii","Scotophilus_andrewreborii"
"Scotophilus_nux","Scotophilus_nux"
"Plecotus_balensis","Plecotus_balensis"
"Pipistrellus_nanulus","Pipistrellus_nanulus"
"Pipistrellus_hesperidus","Pipistrellus_hesperidus"
"Scotoecus_hirundo","Scotoecus_hirundo"
"Pipistrellus_rueppellii","Pipistrellus_rueppellii"
"Glauconycteris_humeralis","Glauconycteris_humeralis"
"Pipistrellus_crassulus","Pipistrellus_crassulus"
"Pipistrellus_eisentrauti","Pipistrellus_eisentrauti"
"Nycticeinops_schlieffeni","Nycticeinops_schlieffeni"
"Pipistrellus_inexspectatus","Pipistrellus_inexspectatus"
"Neoromicia_capensis","Neoromicia_capensis"
"Laephotis_namibensis","Laephotis_namibensis"
"Laephotis_angolensis","Laephotis_angolensis"
"Laephotis_wintoni","Laephotis_wintoni"
"Laephotis_botswanae","Laephotis_botswanae"
"Hypsugo_anchietae","Hypsugo_anchietae"
"Neoromicia_somalica","Neoromicia_somalica"
"Neoromicia_zuluensis","Neoromicia_zuluensis"
"Neoromicia_guineensis","Neoromicia_guineensis"
"Neoromicia_roseveari","Neoromicia_roseveari"
"Neoromicia_brunnea","Neoromicia_brunnea"
"Neoromicia_rendalli","Neoromicia_rendalli"
"Neoromicia_melckorum","Neoromicia_melckorum"
"Neoromicia_tenuipinnis","Neoromicia_tenuipinnis"
"Neoromicia_nana","Neoromicia_nana"
"Glauconycteris_gleni","Glauconycteris_gleni"
"Glauconycteris_poensis","Glauconycteris_poensis"
"Glauconycteris_beatrix","Glauconycteris_beatrix"
"Pipistrellus_rusticus","Pipistrellus_rusticus"
"Eptesicus_hottentotus","Eptesicus_hottentotus"
"Glauconycteris_egeria","Glauconycteris_egeria"
"Glauconycteris_argentata","Glauconycteris_argentata"
"Glauconycteris_variegata","Glauconycteris_variegata"
"Kerivoula_cuprosa","Kerivoula_cuprosa"
"Kerivoula_argentata","Kerivoula_argentata"
"Kerivoula_lanosa","Kerivoula_lanosa"
"Kerivoula_africana","Kerivoula_africana"
"Kerivoula_phalaena","Kerivoula_phalaena"
"Myotis_tricolor","Myotis_tricolor"
"Myotis_scotti","Myotis_scotti"
"Myotis_bocagii","Myotis_bocagii"
"Myotis_welwitschii","Myotis_welwitschii"
"Nycteris_macrotis","Nycteris_macrotis"
"Nycteris_gambiensis","Nycteris_gambiensis"
"Nycteris_grandis","Nycteris_grandis"
"Nycteris_thebaica","Nycteris_thebaica"
"Nycteris_major","Nycteris_major"
"Nycteris_hispida","Nycteris_hispida"
"Nycteris_aurita","Nycteris_aurita"
"Nycteris_arge","Nycteris_arge"
"Nycteris_nana","Nycteris_nana"
"Nycteris_intermedia","Nycteris_intermedia"
"Nycteris_parisii","Nycteris_parisii"
"Coleura_afra","Coleura_afra"
"Saccolaimus_peli","Saccolaimus_peli"
"Taphozous_mauritianus","Taphozous_mauritianus"
"Taphozous_nudiventris","Taphozous_nudiventris"
"Taphozous_perforatus","Taphozous_perforatus"
"Graphiurus_microtis","Graphiurus_microtis"
"Graphiurus_surdus","Graphiurus_surdus"
"Graphiurus_ocularis","Graphiurus_ocularis"
"Graphiurus_crassicaudatus","Graphiurus_crassicaudatus"
"Graphiurus_murinus","Graphiurus_murinus"
"Graphiurus_lorraineus","Graphiurus_lorraineus"
"Graphiurus_kelleni","Graphiurus_kelleni"
"Graphiurus_nagtglasii","Graphiurus_nagtglasii"
"Petromus_typicus","Petromus_typicus"
"Beamys_hindei","Beamys_hindei"
"Saccostomus_mearnsi","Saccostomus_mearnsi"
"Saccostomus_campestris","Saccostomus_campestris"
"Dendromus_melanotis","Dendromus_melanotis"
"Dendromus_lovati","Dendromus_lovati"
"Dendromus_mesomelas","Dendromus_mesomelas"
"Dendromus_insignis","Dendromus_insignis"
"Dendromus_mystacalis","Dendromus_mystacalis"
"Dendromus_nyikae","Dendromus_nyikae"
"Malacothrix_typica","Malacothrix_typica"
"Dendromus_messorius","Dendromus_messorius"
"Steatomys_pratensis","Steatomys_pratensis"
"Steatomys_caurinus","Steatomys_caurinus"
"Steatomys_parvus","Steatomys_parvus"
"Steatomys_krebsii","Steatomys_krebsii"
"Megadendromus_nikolausi","Megadendromus_nikolausi"
"Delanymys_brooksi","Delanymys_brooksi"
"Mystromys_albicaudatus","Mystromys_albicaudatus"
"Petromyscus_collinus","Petromyscus_collinus"
"Gerbilliscus_boehmi","Gerbilliscus_boehmi"
"Gerbilliscus_brantsii","Gerbilliscus_brantsii"
"Gerbilliscus_leucogaster","Gerbilliscus_leucogaster"
"Gerbilliscus_validus","Gerbilliscus_validus"
"Gerbilliscus_gambiana","Gerbilliscus_gambiana"
"Gerbilliscus_guineae","Gerbilliscus_guineae"
"Gerbilliscus_kempi","Gerbilliscus_kempi"
"Gerbillurus_vallinus","Gerbillurus_vallinus"
"Gerbillurus_tytonis","Gerbillurus_tytonis"
"Gerbillurus_paeba","Gerbillurus_paeba"
"Gerbilliscus_phillipsi","Gerbilliscus_phillipsi"
"Gerbilliscus_robustus","Gerbilliscus_robustus"
"Gerbilliscus_nigricaudus","Gerbilliscus_nigricaudus"
"Desmodillus_auricularis","Desmodillus_auricularis"
"Gerbillus_nanus","Gerbillus_nanus"
"Gerbillus_nigeriae","Gerbillus_nigeriae"
"Gerbillus_pusillus","Gerbillus_pusillus"
"Gerbillus_tarabuli","Gerbillus_tarabuli"
"Gerbillus_gerbillus","Gerbillus_gerbillus"
"Taterillus_emini","Taterillus_emini"
"Taterillus_gracilis","Taterillus_gracilis"
"Taterillus_arenarius","Taterillus_arenarius"
"Taterillus_congicus","Taterillus_congicus"
"Uranomys_ruddi","Uranomys_ruddi"
"Lophuromys_rahmi","Lophuromys_rahmi"
"Lophuromys_woosnami","Lophuromys_woosnami"
"Lophuromys_medicaudatus","Lophuromys_medicaudatus"
"Lophuromys_stanleyi","Lophuromys_stanleyi"
"Lophuromys_kilonzoi","Lophuromys_kilonzoi"
"Lophuromys_sabunii","Lophuromys_sabunii"
"Lophuromys_chrysopus","Lophuromys_chrysopus"
"Lophuromys_melanonyx","Lophuromys_melanonyx"
"Lophuromys_brevicaudus","Lophuromys_brevicaudus"
"Lophuromys_makundii","Lophuromys_makundii"
"Lophuromys_flavopunctatus","Lophuromys_flavopunctatus"
"Lophuromys_nudicaudus","Lophuromys_nudicaudus"
"Lophuromys_machangui","Lophuromys_machangui"
"Lophuromys_huttereri","Lophuromys_huttereri"
"Lophuromys_sikapusi","Lophuromys_sikapusi"
"Lophuromys_dieterleni","Lophuromys_dieterleni"
"Lophuromys_luteogaster","Lophuromys_luteogaster"
"Lophuromys_menageshae","Lophuromys_menageshae"
"Acomys_wilsoni","Acomys_wilsoni"
"Acomys_percivali","Acomys_percivali"
"Acomys_johannis","Acomys_johannis"
"Acomys_ngurui","Acomys_ngurui"
"Acomys_cineraceus","Acomys_cineraceus"
"Acomys_muzei","Acomys_muzei"
"Acomys_subspinosus","Acomys_subspinosus"
"Acomys_spinosissimus","Acomys_spinosissimus"
"Deomys_ferrugineus","Deomys_ferrugineus"
"Thamnomys_venustus","Thamnomys_venustus"
"Thamnomys_kempi","Thamnomys_kempi"
"Mus_setzeri","Mus_setzeri"
"Mus_bufo","Mus_bufo"
"Mus_setulosus","Mus_setulosus"
"Mus_mahomet","Mus_mahomet"
"Mus_mattheyi","Mus_mattheyi"
"Mus_tenellus","Mus_tenellus"
"Mus_minutoides","Mus_minutoides"
"Mus_musculoides","Mus_musculoides"
"Mus_indutus","Mus_indutus"
"Mus_baoulei","Mus_baoulei"
"Muriculus_imberbis","Muriculus_imberbis"
"Mus_triton","Mus_triton"
"Mastomys_pernanus","Mastomys_pernanus"
"Praomys_delectorum","Praomys_delectorum"
"Hylomyscus_alleni","Hylomyscus_alleni"
"Hylomyscus_pamfi","Hylomyscus_pamfi"
"Hylomyscus_walterverheyeni","Hylomyscus_walterverheyeni"
"Hylomyscus_stella","Hylomyscus_stella"
"Hylomyscus_parvus","Hylomyscus_parvus"
"Hylomyscus_arcimontensis","Hylomyscus_arcimontensis"
"Hylomyscus_kerbispeterhansi","Hylomyscus_kerbispeterhansi"
"Hylomyscus_aeta","Hylomyscus_aeta"
"Hylomyscus_grandis","Hylomyscus_grandis"
"Heimyscus_fumosus","Heimyscus_fumosus"
"Hylomyscus_denniae","Hylomyscus_denniae"
"Hylomyscus_vulcanorum","Hylomyscus_vulcanorum"
"Hylomyscus_carillus","Hylomyscus_carillus"
"Praomys_rostratus","Praomys_rostratus"
"Praomys_obscurus","Praomys_obscurus"
"Praomys_hartwigi","Praomys_hartwigi"
"Praomys_petteri","Praomys_petteri"
"Praomys_tullbergi","Praomys_tullbergi"
"Praomys_misonnei","Praomys_misonnei"
"Praomys_daltoni","Praomys_daltoni"
"Praomys_degraaffi","Praomys_degraaffi"
"Praomys_mutoni","Praomys_mutoni"
"Praomys_jacksoni","Praomys_jacksoni"
"Mastomys_awashensis","Mastomys_awashensis"
"Mastomys_natalensis","Mastomys_natalensis"
"Mastomys_erythroleucus","Mastomys_erythroleucus"
"Mastomys_coucha","Mastomys_coucha"
"Mastomys_huberti","Mastomys_huberti"
"Mastomys_kollmannspergeri","Mastomys_kollmannspergeri"
"Stenocephalemys_albocaudata","Stenocephalemys_albocaudata"
"Stenocephalemys_albipes","Stenocephalemys_albipes"
"Stenocephalemys_griseicauda","Stenocephalemys_griseicauda"
"Praomys_verschureni","Praomys_verschureni"
"Praomys_lukolelae","Praomys_lukolelae"
"Myomyscus_verreauxii","Myomyscus_verreauxii"
"Zelotomys_woosnami","Zelotomys_woosnami"
"Colomys_goslingi","Colomys_goslingi"
"Malacomys_longipes","Malacomys_longipes"
"Malacomys_edwardsi","Malacomys_edwardsi"
"Malacomys_cansdalei","Malacomys_cansdalei"
"Otomys_unisulcatus","Otomys_unisulcatus"
"Otomys_sloggetti","Otomys_sloggetti"
"Otomys_anchietae","Otomys_anchietae"
"Otomys_denti","Otomys_denti"
"Otomys_typus","Otomys_typus"
"Otomys_helleri","Otomys_helleri"
"Otomys_occidentalis","Otomys_occidentalis"
"Otomys_tropicalis","Otomys_tropicalis"
"Otomys_simiensis","Otomys_simiensis"
"Otomys_yaldeni","Otomys_yaldeni"
"Otomys_zinki","Otomys_zinki"
"Otomys_dartmouthi","Otomys_dartmouthi"
"Otomys_angoniensis","Otomys_angoniensis"
"Otomys_uzungwensis","Otomys_uzungwensis"
"Otomys_irroratus","Otomys_irroratus"
"Otomys_barbouri","Otomys_barbouri"
"Parotomys_brantsii","Parotomys_brantsii"
"Dephomys_defua","Dephomys_defua"
"Aethomys_ineptus","Aethomys_ineptus"
"Aethomys_hindei","Aethomys_hindei"
"Aethomys_granti","Aethomys_granti"
"Aethomys_chrysophilus","Aethomys_chrysophilus"
"Aethomys_kaiseri","Aethomys_kaiseri"
"Aethomys_nyikae","Aethomys_nyikae"
"Aethomys_namaquensis","Aethomys_namaquensis"
"Grammomys_minnae","Grammomys_minnae"
"Grammomys_macmillani","Grammomys_macmillani"
"Grammomys_cometes","Grammomys_cometes"
"Thallomys_paedulcus","Thallomys_paedulcus"
"Grammomys_dolichurus","Grammomys_dolichurus"
"Grammomys_dryas","Grammomys_dryas"
"Grammomys_selousi","Grammomys_selousi"
"Mylomys_dybowskii","Mylomys_dybowskii"
"Pelomys_campanae","Pelomys_campanae"
"Pelomys_hopkinsi","Pelomys_hopkinsi"
"Pelomys_fallax","Pelomys_fallax"
"Pelomys_minor","Pelomys_minor"
"Rhabdomys_pumilio","Rhabdomys_pumilio"
"Lamottemys_okuensis","Lamottemys_okuensis"
"Lemniscomys_griselda","Lemniscomys_griselda"
"Lemniscomys_striatus","Lemniscomys_striatus"
"Lemniscomys_linulus","Lemniscomys_linulus"
"Lemniscomys_zebra","Lemniscomys_zebra"
"Lemniscomys_mittendorfi","Lemniscomys_mittendorfi"
"Lemniscomys_rosalia","Lemniscomys_rosalia"
"Lemniscomys_macculus","Lemniscomys_macculus"
"Lemniscomys_bellieri","Lemniscomys_bellieri"
"Arvicanthis_blicki","Arvicanthis_blicki"
"Arvicanthis_rufinus","Arvicanthis_rufinus"
"Arvicanthis_ansorgei","Arvicanthis_ansorgei"
"Arvicanthis_nairobae","Arvicanthis_nairobae"
"Arvicanthis_neumanni","Arvicanthis_neumanni"
"Arvicanthis_niloticus","Arvicanthis_niloticus"
"Arvicanthis_abyssinicus","Arvicanthis_abyssinicus"
"Desmomys_harringtoni","Desmomys_harringtoni"
"Dasymys_rufulus","Dasymys_rufulus"
"Dasymys_montanus","Dasymys_montanus"
"Dasymys_incomtus","Dasymys_incomtus"
"Stochomys_longicaudatus","Stochomys_longicaudatus"
"Hybomys_trivirgatus","Hybomys_trivirgatus"
"Hybomys_badius","Hybomys_badius"
"Hybomys_planifrons","Hybomys_planifrons"
"Hybomys_univittatus","Hybomys_univittatus"
"Hybomys_lunaris","Hybomys_lunaris"
"Oenomys_ornatus","Oenomys_ornatus"
"Oenomys_hypoxanthus","Oenomys_hypoxanthus"
